Model,Dataset,Best,Mean,Worst
Tr,CIF2016o6,2.307818651199341,13.594318967174601,68.37683868408203
Tr,Traffic-perms-bay,1.4517575502395632,1.976507564937627,3.899954319000244
Tr,SolarEnergy,2.1124234199523926,6.353048603843759,21.022056579589844
Tr,SolarEnergy,3.6882307529449454,3.6882307529449454,3.6882307529449454
Tr,Traffic-metr-la,0.8921326994895935,1.0272441964458536,1.7266137599945068
Tr,M4,2.894657611846924,4.030089219411214,6.6373839378356925
Tr,M4,2.824782371520996,3.440230472220315,4.4649314880371085
Tr,M4,2.8753278255462646,3.5670328703191547,6.905417919158936
Tr,ExchangeRate,1.4276736974716189,5.03130017110595,14.724091529846193
Tr,M3,2.7304136753082275,4.156457897689608,6.842526435852051
Tr,M3,2.2123937606811523,3.051838477452596,5.089365005493164
Tr,M3,2.5627834796905518,4.6927544011010065,9.90964412689209
Tr,WikiWebTraffic,0.8290247917175293,0.8878486396537887,1.2474687099456787
Tr,Tourism,0.7029748558998108,0.8204150721430779,1.2391955852508545
Tr,Tourism,0.6609132885932922,0.7628093676434623,1.0412448644638062
Tr,Tourism,0.6496943235397339,0.7531231361276963,1.0404938459396362
Tr,NN5,0.5257689952850342,0.616735622562744,1.0116640329360962
Tr,Traffic,1.909024953842163,2.8185148567296148,11.070606231689453
Tr,CIF2016o12,1.2601233720779421,2.2633922453279847,3.3566498756408687
