;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;wape;mase;LOSS;VAL_LOSS
0;ExchangeRate;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};7;1.25;8;32;5;1892;Noam;Noam;minmax;2.867025954679872e-07;120.56249737739564;0.01172661014722632;4.6270599365234375;0.010480673554985174;0.014846989884972572
1;ExchangeRate;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};7;1.25;8;32;5;1892;Noam;Noam;minmax;3.3033073752007716e-07;120.34243392944336;0.007310420514727457;2.7657861709594727;0.01276009456650164;0.009167675860226154
2;ExchangeRate;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};7;1.25;8;32;5;1892;Noam;Noam;minmax;3.354908012694668e-07;121.41757488250731;0.02003186839112465;8.270596504211426;0.014183823262715153;0.02328906394541264
3;ExchangeRate;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};7;1.25;8;32;5;1892;Noam;Noam;minmax;3.326547356972832e-07;121.15697836875916;0.0074931494419981405;3.165044069290161;0.0136127928088002;0.011738264933228493
4;ExchangeRate;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};7;1.25;8;32;5;1892;Noam;Noam;minmax;3.578169396904893e-07;122.41153192520142;0.005692924434000061;2.48748779296875;0.01433609779317993;0.008191060274839401
5;ExchangeRate;trDPT;5;{'N': 2, 'd_model': 256, 'h': 8};7;1.25;8;32;5;1892;Noam;Noam;minmax;3.773030735593671e-07;123.94765973091124;0.01335178987168957;5.769387722015381;0.013071554939593616;0.016825886443257332
6;ExchangeRate;trDPT;6;{'N': 3, 'd_model': 16, 'h': 4};7;1.25;8;32;5;1892;Noam;Noam;minmax;5.434925771093608e-07;165.60483670234683;0.005013903323987072;2.2074553966522217;0.010559898928357434;0.007699741981923579
7;ExchangeRate;trDPT;7;{'N': 3, 'd_model': 16, 'h': 8};7;1.25;8;32;5;1892;Noam;Noam;minmax;5.072303275850252e-07;166.93592762947085;0.007364103021609079;3.116727828979492;0.009707866693456323;0.009442825801670551
8;ExchangeRate;trDPT;8;{'N': 3, 'd_model': 128, 'h': 4};7;1.25;8;32;5;1892;Noam;Noam;minmax;5.134184651043313e-07;167.02744150161743;0.017855161446871545;7.6192626953125;0.013873448118773364;0.022355647757649408
9;ExchangeRate;trDPT;9;{'N': 3, 'd_model': 128, 'h': 8};7;1.25;8;32;5;1892;Noam;Noam;minmax;4.881065798725932e-07;165.99265050888064;0.011316412673072979;4.526561737060547;0.013744335167326002;0.015084083192050457
