;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;wape;mase;LOSS;VAL_LOSS
0;M3;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};18;1.25;22;32;5;;Noam;Noam;minmax;7.89153156148146e-07;0.00044522431723363116;0.17186918370099086;2.6978228092193604;0.08177607819436739;0.15377646055486466
1;M3;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};18;1.25;22;32;5;;Noam;Noam;minmax;1.0276187737085519e-06;0.0004482398399377997;0.1526693610275636;2.5480306148529053;0.08161512647115708;0.15067308147748312
2;M3;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};18;1.25;22;32;5;;Noam;Noam;minmax;1.568220713326568e-06;0.00045478789058122433;0.15590830511486833;2.3670849800109863;0.0772153484150239;0.1454620906048351
3;M3;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};18;1.25;22;32;5;;Noam;Noam;minmax;1.781921965789848e-06;0.0004498959356863635;0.1807063117547829;2.6625771522521973;0.07615289098584739;0.16276842918660905
4;M3;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};18;1.25;22;32;5;;Noam;Noam;minmax;3.0681886228709224e-06;0.00045321721003319706;0.1880386454880352;2.653935670852661;0.07974090361705992;0.16443200873004066
5;M3;trDPT;5;{'N': 2, 'd_model': 256, 'h': 8};18;1.25;22;32;5;;Noam;Noam;minmax;3.221345844866021e-06;0.00045286233474447753;0.1818208454576853;2.758831739425659;0.0779913157866671;0.1592309166987737
6;M3;trDPT;6;{'N': 3, 'd_model': 16, 'h': 4};18;1.25;22;32;5;;Noam;Noam;minmax;1.1246093088761015e-06;0.0005765675574245718;0.15770019555450296;2.5779788494110107;0.07996427721243261;0.15158621900611455
7;M3;trDPT;7;{'N': 3, 'd_model': 16, 'h': 8};18;1.25;22;32;5;;Noam;Noam;minmax;1.4729927368815741e-06;0.0005801263649206933;0.32386193469534874;4.409812450408936;0.08027047306107378;0.2147676398356756
8;M3;trDPT;8;{'N': 3, 'd_model': 128, 'h': 4};18;1.25;22;32;5;;Noam;Noam;minmax;2.1267387718277007e-06;0.0005788512463783582;0.1486787693559338;2.2123937606811523;0.07662992359786837;0.13996098968717788
9;M3;trDPT;9;{'N': 3, 'd_model': 128, 'h': 8};18;1.25;22;32;5;;Noam;Noam;minmax;2.459364316120532e-06;0.0005863062538476533;0.16457183817123136;3.410231590270996;0.07517063784004846;0.1732680191596349
10;M3;trDPT;10;{'N': 3, 'd_model': 256, 'h': 4};18;1.25;22;32;5;;Noam;Noam;minmax;4.350246721369569e-06;0.0005834682288310535;0.2303952494585313;3.299280405044556;0.08183422196294797;0.18426050113307105
11;M3;trDPT;11;{'N': 3, 'd_model': 256, 'h': 8};18;1.25;22;32;5;;Noam;Noam;minmax;4.511057377315355e-06;0.0005874431252526589;0.1462371495378255;2.3937923908233643;0.07738568121350255;0.1435885853237576
12;M3;trDPT;12;{'N': 4, 'd_model': 16, 'h': 4};18;1.25;22;32;5;;Noam;Noam;minmax;1.4788116709373568e-06;0.0007106667294535572;0.1934075368242081;3.4358372688293457;0.07919324726642073;0.17585018674532574
13;M3;trDPT;13;{'N': 4, 'd_model': 16, 'h': 8};18;1.25;22;32;5;;Noam;Noam;minmax;1.954768933263288e-06;0.0007109083649098501;0.1941320337060423;2.736350774765014;0.0802211424716789;0.16703377928998736
14;M3;trDPT;14;{'N': 4, 'd_model': 128, 'h': 4};18;1.25;22;32;5;;Noam;Noam;minmax;3.01822271170624e-06;0.0007127725925573503;0.15082356539767158;2.4685001373291016;0.07624185925081607;0.1487333294418123
15;M3;trDPT;15;{'N': 4, 'd_model': 128, 'h': 8};18;1.25;22;32;5;;Noam;Noam;minmax;3.214392453861655e-06;0.0007141646431744344;0.2271064300939869;3.3070664405822754;0.07479310628590373;0.172015181183815
16;M3;trDPT;16;{'N': 4, 'd_model': 256, 'h': 4};18;1.25;22;32;5;;Noam;Noam;minmax;5.7569844054857024e-06;0.0007234229917101018;0.1594117958276104;2.624338150024414;0.0807247197601092;0.15289168308178586
17;M3;trDPT;17;{'N': 4, 'd_model': 256, 'h': 8};18;1.25;22;32;5;;Noam;Noam;minmax;5.913060778897278e-06;0.000717353046603088;0.2160133809415153;3.1224792003631587;0.07733721882901046;0.17178674969408247
18;M3;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};18;1.25;22;64;5;;Noam;Noam;minmax;7.830519913393006e-07;0.0002213603564851356;0.1655466105256136;2.4187123775482178;0.08220292388662111;0.15180053723895032
19;M3;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};18;1.25;22;64;5;;Noam;Noam;minmax;1.0283769229863859e-06;0.00022652648582854282;0.19599122861234705;2.944653511047364;0.08188240987817276;0.1710135658150134
20;M3;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};18;1.25;22;64;5;;Noam;Noam;minmax;1.5668842677017738e-06;0.00022540483938918022;0.15548193625587312;2.3916490077972408;0.0776658152417302;0.1474110704401265
21;M3;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};18;1.25;22;64;5;;Noam;Noam;minmax;1.818800117523312e-06;0.00022709633683526347;0.2442071044996581;3.458547353744507;0.07688938866147499;0.176047977545987
22;M3;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};18;1.25;22;64;5;;Noam;Noam;minmax;2.770128044923711e-06;0.00022920349488015864;0.17323885146647647;2.668224573135376;0.08018056338263166;0.1566366935553758
23;M3;trDPT;5;{'N': 2, 'd_model': 256, 'h': 8};18;1.25;22;64;5;;Noam;Noam;minmax;2.9836826480741248e-06;0.00022682837921079527;0.18226101468174088;2.882625102996826;0.07897196421240697;0.16240699070951212
24;M3;trDPT;6;{'N': 3, 'd_model': 16, 'h': 4};18;1.25;22;64;5;;Noam;Noam;minmax;1.1316180392438131e-06;0.0002875796749634826;0.15886990563082906;2.4572153091430664;0.08132593428935331;0.15208564698696134
25;M3;trDPT;7;{'N': 3, 'd_model': 16, 'h': 8};18;1.25;22;64;5;;Noam;Noam;minmax;1.4957842536754318e-06;0.0002845595303156873;0.29243355553637074;3.613037109375;0.08126469285948021;0.2074643833481747
26;M3;trDPT;8;{'N': 3, 'd_model': 128, 'h': 4};18;1.25;22;64;5;;Noam;Noam;minmax;2.163392799139615e-06;0.0002947832098512561;0.16048557924451692;3.4746248722076416;0.07656544993308811;0.1697288013022879
27;M3;trDPT;9;{'N': 3, 'd_model': 128, 'h': 8};18;1.25;22;64;5;;Noam;Noam;minmax;2.6464971402416214e-06;0.00029546586406282673;0.16432026291241153;2.6148324012756348;0.07574987615371329;0.1529324806254843
28;M3;trDPT;10;{'N': 3, 'd_model': 256, 'h': 4};18;1.25;22;64;5;;Noam;Noam;minmax;4.153576157975877e-06;0.00029184792258321493;0.16059867279856002;2.8058795928955083;0.07927488732401138;0.1569538829119309
29;M3;trDPT;11;{'N': 3, 'd_model': 256, 'h': 8};18;1.25;22;64;5;;Noam;Noam;minmax;4.4695888253923795e-06;0.00029734359174801484;0.18021669707772467;3.9233224391937256;0.07847892246101161;0.18431951040806974
30;M3;trDPT;12;{'N': 4, 'd_model': 16, 'h': 4};18;1.25;22;64;5;;Noam;Noam;minmax;1.5033408437402648e-06;0.000356444728559038;0.1509526077177631;2.4321208000183105;0.07976509435135372;0.14702970566956894
31;M3;trDPT;13;{'N': 4, 'd_model': 16, 'h': 8};18;1.25;22;64;5;;Noam;Noam;minmax;1.9835537031074667e-06;0.00035615471985845764;0.14927268506156766;2.4407854080200195;0.08024832042851247;0.1466820337202238
