;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;wape;mase;LOSS;VAL_LOSS
0;NN5;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};56;1.25;70;32;5;;Noam;Noam;minmax;1.9505076421766684e-06;0.000720559860892036;0.2174063978176913;0.6145188808441162;0.07225056301831688;0.08103669993579388
1;NN5;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};56;1.25;70;32;5;;Noam;Noam;minmax;2.1381438737992363e-06;0.0007091823016465141;0.2068394749901329;0.5815861225128174;0.07225092052354558;0.07457380183041096
2;NN5;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};56;1.25;70;32;5;;Noam;Noam;minmax;2.3271427991171557e-06;0.0007127077796754625;0.2057855232579401;0.5850762128829956;0.05940432927513465;0.07753744721412659
3;NN5;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};56;1.25;70;32;5;;Noam;Noam;minmax;2.352509324650277e-06;0.0007243590593654918;0.19411351282614966;0.5484126210212708;0.058517070800595365;0.07155534997582436
4;NN5;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};56;1.25;70;32;5;;Noam;Noam;minmax;3.1284031708119724e-06;0.0007281320236965501;0.19274521295935287;0.5453911423683167;0.058675446845333976;0.07086712494492531
5;NN5;trDPT;5;{'N': 2, 'd_model': 256, 'h': 8};56;1.25;70;32;5;;Noam;Noam;minmax;3.3648428510587863e-06;0.0007288692628170043;0.2956989822161478;0.8324733972549438;0.05844850991608635;0.10839487984776497
6;NN5;trDPT;6;{'N': 3, 'd_model': 16, 'h': 4};56;1.25;70;32;5;;Noam;Noam;minmax;2.8213393369535803e-06;0.0008445964932107201;0.20189532114206385;0.5703336000442505;0.0695090676933442;0.07375777140259743
7;NN5;trDPT;7;{'N': 3, 'd_model': 16, 'h': 8};56;1.25;70;32;5;;Noam;Noam;minmax;2.8791358597326838e-06;0.0008439881064623854;0.2068980467094957;0.5845522284507751;0.06982858861536746;0.0763624869287014
8;NN5;trDPT;8;{'N': 3, 'd_model': 128, 'h': 4};56;1.25;70;32;5;;Noam;Noam;minmax;3.097881648973953e-06;0.0008511173888862688;0.2060306463636148;0.5851418375968933;0.05898636037551964;0.07512009143829346
9;NN5;trDPT;9;{'N': 3, 'd_model': 128, 'h': 8};56;1.25;70;32;5;;Noam;Noam;minmax;3.129047545350085e-06;0.0008530607978450091;0.27070358574906833;0.7760545015335083;0.057633945285394735;0.10606899298727512
10;NN5;trDPT;10;{'N': 3, 'd_model': 256, 'h': 4};56;1.25;70;32;5;;Noam;Noam;minmax;4.642739674133382e-06;0.0008721075380522785;0.27159899124962805;0.7776480913162231;0.05879588657623856;0.1018023770302534
11;NN5;trDPT;11;{'N': 3, 'd_model': 256, 'h': 8};56;1.25;70;32;5;;Noam;Noam;minmax;4.95228241331872e-06;0.0008672799607742979;0.2532919615489277;0.7077698707580566;0.0586228006093359;0.09427420422434807
12;NN5;trDPT;12;{'N': 4, 'd_model': 16, 'h': 4};56;1.25;70;32;5;;Noam;Noam;minmax;3.935146007839254e-06;0.0009907954419808873;0.2059412434234782;0.5757880210876465;0.06750884249641917;0.07417923584580421
13;NN5;trDPT;13;{'N': 4, 'd_model': 16, 'h': 8};56;1.25;70;32;5;;Noam;Noam;minmax;3.842440582487224e-06;0.0009887537268200718;0.20853234892949296;0.5838066339492798;0.06784244812400947;0.07619607076048851
14;NN5;trDPT;14;{'N': 4, 'd_model': 128, 'h': 4};56;1.25;70;32;5;;Noam;Noam;minmax;3.900455417951371e-06;0.001002028276113618;0.22464822765484835;0.6444503664970398;0.057190105727152676;0.08481157943606378
15;NN5;trDPT;15;{'N': 4, 'd_model': 128, 'h': 8};56;1.25;70;32;5;;Noam;Noam;minmax;4.065059661301848e-06;0.0010008677068655961;0.23596576034181385;0.6770622730255127;0.05662682345778972;0.08857744932174683
16;NN5;trDPT;16;{'N': 4, 'd_model': 256, 'h': 4};56;1.25;70;32;5;;Noam;Noam;minmax;6.2950674002639935e-06;0.001007557520220611;0.3032965889785633;0.8574810028076172;0.0588490097311179;0.11253804340958597
17;NN5;trDPT;17;{'N': 4, 'd_model': 256, 'h': 8};56;1.25;70;32;5;;Noam;Noam;minmax;6.72192151710917e-06;0.0010106479757171212;0.22767091434392275;0.6482987403869629;0.05732074749892506;0.0853175837546587
18;NN5;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};56;1.25;70;64;5;;Noam;Noam;minmax;1.982018613442064e-06;0.0003626750649703058;0.2127117071511564;0.6027158498764038;0.0734349232687746;0.07949890568852425
19;NN5;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};56;1.25;70;64;5;;Noam;Noam;minmax;2.1305874379588587e-06;0.0003603926417641337;0.20480216391488407;0.577265202999115;0.07395193520307132;0.07629794254899025
20;NN5;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};56;1.25;70;64;5;;Noam;Noam;minmax;2.1583624453721384e-06;0.00036505440844512025;0.250251489303869;0.706617534160614;0.06094096794605248;0.0925070345401764
21;NN5;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};56;1.25;70;64;5;;Noam;Noam;minmax;2.204546141775861e-06;0.00036436971789219065;0.2300679109302128;0.6457255482673645;0.060351906640755966;0.0847289152443409
22;NN5;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};56;1.25;70;64;5;;Noam;Noam;minmax;3.240763780162599e-06;0.00037535365373270315;0.3622561762949428;1.0116640329360962;0.060746493261463815;0.13247648626565933
23;NN5;trDPT;5;{'N': 2, 'd_model': 256, 'h': 8};56;1.25;70;64;5;;Noam;Noam;minmax;3.527964680854371e-06;0.00038670582391718886;0.32754236546947385;0.9336286187171936;0.05985846330041768;0.12241488322615625
24;NN5;trDPT;6;{'N': 3, 'd_model': 16, 'h': 4};56;1.25;70;64;5;;Noam;Noam;minmax;2.786898750301796e-06;0.00043011711753289714;0.20529937693524106;0.5792345404624939;0.07134864718377616;0.07594168558716774
25;NN5;trDPT;7;{'N': 3, 'd_model': 16, 'h': 8};56;1.25;70;64;5;;Noam;Noam;minmax;2.837730394193542e-06;0.0004297636756339218;0.206575432805692;0.5851910710334778;0.07029736208374318;0.07703649252653122
26;NN5;trDPT;8;{'N': 3, 'd_model': 128, 'h': 4};56;1.25;70;64;5;;Noam;Noam;minmax;2.8741639643894337e-06;0.00043293635050455727;0.2503425904151513;0.694612979888916;0.05990283046324686;0.09218497574329376
27;NN5;trDPT;9;{'N': 3, 'd_model': 128, 'h': 8};56;1.25;70;64;5;;Noam;Noam;minmax;3.2026823013118618e-06;0.00042856186993663303;0.2221175301200342;0.6326478123664856;0.05917517264387937;0.08326023817062378
28;NN5;trDPT;10;{'N': 3, 'd_model': 256, 'h': 4};56;1.25;70;64;5;;Noam;Noam;minmax;4.8377985370474285e-06;0.00045548903538933914;0.2077451100368677;0.5879844427108765;0.059935301313821326;0.07577306404709816
29;NN5;trDPT;11;{'N': 3, 'd_model': 256, 'h': 8};56;1.25;70;64;5;;Noam;Noam;minmax;5.095393420709428e-06;0.00047947560925723845;0.20196464572920525;0.5762861371040344;0.05955075216658792;0.07391050085425377
30;NN5;trDPT;12;{'N': 4, 'd_model': 16, 'h': 4};56;1.25;70;64;5;;Noam;Noam;minmax;3.5211512123776085e-06;0.0004968537560348724;0.20578623429770693;0.5816807746887207;0.06894737146267879;0.07585238292813301
31;NN5;trDPT;13;{'N': 4, 'd_model': 16, 'h': 8};56;1.25;70;64;5;;Noam;Noam;minmax;3.5955782321157523e-06;0.0004966364243484426;0.20660886873133047;0.5766699314117432;0.06895442522145237;0.0756458230316639
32;NN5;trDPT;14;{'N': 4, 'd_model': 128, 'h': 4};56;1.25;70;64;5;;Noam;Noam;minmax;3.840630699904767e-06;0.0005025061608910156;0.19386554800307867;0.5456955432891846;0.05925486922790245;0.07056355476379395
33;NN5;trDPT;15;{'N': 4, 'd_model': 128, 'h': 8};56;1.25;70;64;5;;Noam;Noam;minmax;4.088792362869482e-06;0.0004989716813370988;0.2709389343730036;0.766620397567749;0.057737472758461375;0.10162549838423728
34;NN5;trDPT;16;{'N': 4, 'd_model': 256, 'h': 4};56;1.25;70;64;5;;Noam;Noam;minmax;6.4939713833726785e-06;0.0005410809827474138;0.20345853900927446;0.5725967884063721;0.06018319462922477;0.07452884316444397
35;NN5;trDPT;17;{'N': 4, 'd_model': 256, 'h': 8};56;1.25;70;64;5;;Noam;Noam;minmax;6.809517721396714e-06;0.000574650491926593;0.1976597493497049;0.562631368637085;0.059493792447272376;0.07308710366487503
36;NN5;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};56;2.0;112;32;5;;Noam;Noam;minmax;2.180837220520012e-06;0.0007239579655255571;0.20199489345845625;0.5657286643981934;0.07212914659144126;0.07584944367408752
37;NN5;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};56;2.0;112;32;5;;Noam;Noam;minmax;2.2217081125852587e-06;0.0007253001908816718;0.1983384340387601;0.5579278469085693;0.07195081615553825;0.07408470846712589
