;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;wape;mase;LOSS;VAL_LOSS
0;SolarEnergy;mlp;0;{'hidden_layers': [8]};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.0009601116180419922;35.033034801483154;4.867467915622419;11.43022918701172;[0.08161676675081253, 0.07515671849250793, 0.07522789388895035, 0.0747983455657959, 0.07491318136453629];[0.09738046675920486, 0.09626292437314987, 0.09143678843975067, 0.09542740881443024, 0.0956031009554863]
1;SolarEnergy;mlp;1;{'hidden_layers': [8, 16]};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.0011763572692871096;39.163687467575066;4.636596017267182;10.876737594604492;[0.0788080021739006, 0.07549567520618439, 0.07522345334291458, 0.07523312419652939, 0.07527697831392288];[0.09090524911880493, 0.09443370252847672, 0.09072262048721313, 0.0990854874253273, 0.09274028986692429]
2;SolarEnergy;mlp;2;{'hidden_layers': [16, 8]};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.0011038780212402344;39.140878200531006;4.902907036284682;11.495061874389648;[0.07811838388442993, 0.07539843767881393, 0.07520770281553268, 0.07542140781879425, 0.07522289454936981];[0.09401972591876984, 0.08431939035654068, 0.0959586352109909, 0.09139956533908844, 0.09671222418546677]
3;SolarEnergy;mlp;3;{'hidden_layers': [8, 16, 32]};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.0016388893127441404;43.01331377029419;4.444252075805959;10.31281280517578;[0.07786130160093307, 0.07576023042201996, 0.07551324367523193, 0.07525889575481415, 0.07555333524942398];[0.09198904782533646, 0.09431488811969757, 0.09064409136772156, 0.1020083874464035, 0.0906013622879982]
4;SolarEnergy;mlp;4;{'hidden_layers': [32, 16, 8]};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.01897168159484864;42.85370826721192;4.718713299306821;11.037182807922363;[0.0775376409292221, 0.07555659115314484, 0.07563033699989319, 0.07517687231302261, 0.07525353878736496];[0.08903605490922928, 0.09161422401666641, 0.09824744611978531, 0.09503594040870667, 0.09454064816236496]
5;SolarEnergy;mlp;5;{'hidden_layers': [8, 16, 32, 16, 8]};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.001733541488647461;50.591769456863396;4.9896757552486255;11.750054359436035;[0.07752060890197754, 0.07576368004083633, 0.07563363015651703, 0.07552018016576767, 0.07554998248815536];[0.09443396329879761, 0.09140941500663757, 0.09002099186182022, 0.10160952061414719, 0.09643862396478653]
6;SolarEnergy;mlp;6;{'hidden_layers': [32]};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.0009698867797851562;35.615718364715576;4.562792383960192;10.604551315307617;[0.07880464941263199, 0.07533198595046997, 0.07520793378353119, 0.07512602210044861, 0.0752040296792984];[0.09937132149934769, 0.09004511684179306, 0.09129130095243454, 0.09344202280044556, 0.0930095687508583]
7;SolarEnergy;mlp;7;{'hidden_layers': [32, 64]};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.0011315345764160154;38.58817267417908;4.1884131626688665;9.660605430603027;[0.07688219100236893, 0.07550739496946335, 0.07558798789978027, 0.07535013556480408, 0.07524029165506363];[0.09734755754470825, 0.0922468900680542, 0.09493479132652283, 0.09637726843357086, 0.088372603058815]
8;SolarEnergy;mlp;8;{'hidden_layers': [64, 32]};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.001147747039794922;38.89871883392335;4.59334502469506;10.706887245178224;[0.07684755325317383, 0.07569356262683868, 0.07545297592878342, 0.07524950802326202, 0.07538460195064545];[0.09849624335765839, 0.0988982766866684, 0.08952675759792328, 0.09901105612516403, 0.09373481571674347]
9;SolarEnergy;mlp;9;{'hidden_layers': [32, 64, 128]};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.0012722015380859375;41.92680335044861;5.1933901055222105;12.24212646484375;[0.07763001322746277, 0.07598838955163956, 0.07549626380205154, 0.07532560080289841, 0.07528495788574219];[0.09874602407217026, 0.1043364405632019, 0.10191366076469421, 0.09210053831338882, 0.09972958266735077]
10;SolarEnergy;mlp;10;{'hidden_layers': [128, 64, 32]};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.0012521743774414062;39.15423059463501;4.7464079533603565;11.101178169250488;[0.07747484743595123, 0.07576213777065277, 0.0758245587348938, 0.07563705742359161, 0.07540218532085419];[0.08989263325929642, 0.09097690880298615, 0.09575177729129791, 0.09815748035907745, 0.0943484678864479]
11;SolarEnergy;mlp;11;{'hidden_layers': [32, 64, 128, 64, 32]};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.0016467571258544922;49.11642026901245;5.346570170935492;12.668346405029295;[0.07746103405952454, 0.07606161385774612, 0.07588105648756027, 0.07570366561412811, 0.07547581195831299];[0.08125066757202148, 0.08910883963108063, 0.09558098763227463, 0.09751447290182114, 0.10108121484518051]
12;SolarEnergy;ernn;12;{'layers': 4, 'units': 32, 'return_sequence': True};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.03559541702270508;416.8900353908539;4.431643272341488;10.699613571166992;[0.07047128677368164, 0.06444872170686722, 0.0626893863081932, 0.06195484474301338, 0.06144639849662781];[0.08431260287761688, 0.10011819750070572, 0.09215744584798813, 0.0864974781870842, 0.0808994397521019]
