;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;wape;mase;LOSS;VAL_LOSS
0;SolarEnergy;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};6;1.25;7;32;5;10000;Noam;Noam;minmax;5.636751099465038e-09;654.632050037384;1.9844109037447728;3.815099716186523;0.028515886977269263;0.06260182186961175
1;SolarEnergy;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};6;1.25;7;32;5;10000;Noam;Noam;minmax;5.96250319563072e-09;662.6004478931428;1.4182377264667574;2.584848642349243;0.028002878280089176;0.05226681381464005
2;SolarEnergy;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};6;1.25;7;32;5;10000;Noam;Noam;minmax;5.960067803883219e-09;656.0084624290466;1.3490456607289003;2.462705373764038;0.02811712501255237;0.04789156243205071
3;SolarEnergy;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};6;1.25;7;32;5;10000;Noam;Noam;minmax;6.221761717114645e-09;675.7560372352599;1.7756971406440007;3.164876699447632;0.02776151180672624;0.05452113673090935
4;SolarEnergy;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};6;1.25;7;32;5;10000;Noam;Noam;minmax;5.885382456959869e-09;665.6537182331085;2.102336138437876;4.680841445922852;0.028050990992989286;0.062477684020996085
5;SolarEnergy;trDPT;5;{'N': 2, 'd_model': 256, 'h': 8};6;1.25;7;32;5;10000;Noam;Noam;minmax;6.446555755383941e-09;659.1664929389954;2.233642734356859;4.640329837799072;0.02798777573651274;0.06533691883087159
6;SolarEnergy;trDPT;6;{'N': 3, 'd_model': 16, 'h': 4};6;1.25;7;32;5;10000;Noam;Noam;minmax;9.18282908332572e-09;942.6650292873384;5.527585466088105;13.469783782958984;0.0278300893340632;0.09729086011648178
7;SolarEnergy;trDPT;7;{'N': 3, 'd_model': 16, 'h': 8};6;1.25;7;32;5;10000;Noam;Noam;minmax;9.963778037024236e-09;915.9990179538727;4.278170090066304;10.51593017578125;0.027919383770434673;0.07314161956310272
8;SolarEnergy;trDPT;8;{'N': 3, 'd_model': 128, 'h': 4};6;1.25;7;32;5;10000;Noam;Noam;minmax;1.1614014245080607e-08;914.7597761154176;2.02381255016302;3.6823811531066895;0.0278878940147466;0.06761489734053612
9;SolarEnergy;trDPT;9;{'N': 3, 'd_model': 128, 'h': 8};6;1.25;7;32;5;10000;Noam;Noam;minmax;9.984368167253106e-09;921.9401936531067;2.1183018335363304;3.8652963638305664;0.027856773899827603;0.0746572569012642
10;SolarEnergy;trDPT;10;{'N': 3, 'd_model': 256, 'h': 4};6;1.25;7;32;5;10000;Noam;Noam;minmax;8.39390975663538e-09;928.2613365650177;2.5469295776566447;4.517146587371826;0.028073691409617584;0.09987639486789704
11;SolarEnergy;trDPT;11;{'N': 3, 'd_model': 256, 'h': 8};6;1.25;7;32;5;10000;Noam;Noam;minmax;8.085574401451825e-09;907.0506861209868;1.9660807333440042;3.657526016235352;0.027253622224687083;0.08673036247491836
12;SolarEnergy;trDPT;12;{'N': 4, 'd_model': 16, 'h': 4};6;1.25;7;32;5;10000;Noam;Noam;minmax;1.458954636227684e-08;1107.9490058422086;6.421191209472632;15.90636157989502;0.02752863469811169;0.10225626677274703
13;SolarEnergy;trDPT;13;{'N': 4, 'd_model': 16, 'h': 8};6;1.25;7;32;5;10000;Noam;Noam;minmax;1.3765719753872328e-08;1139.0689084529874;2.0816494586947107;3.788991689682007;0.02749960293964117;0.061289323121309275
14;SolarEnergy;trDPT;14;{'N': 4, 'd_model': 128, 'h': 4};6;1.25;7;32;5;10000;Noam;Noam;minmax;1.22205743897081e-08;1154.7428524494173;2.059476796105976;3.883277416229248;0.027609723791383715;0.06775153204798698
15;SolarEnergy;trDPT;15;{'N': 4, 'd_model': 128, 'h': 8};6;1.25;7;32;5;10000;Noam;Noam;minmax;1.131084487239175e-08;1152.730277299881;1.7647657394873475;3.0875332355499268;0.027545264517720904;0.05707873031497001
16;SolarEnergy;trDPT;16;{'N': 4, 'd_model': 256, 'h': 4};6;1.25;7;32;5;10000;Noam;Noam;minmax;1.2123084920058151e-08;1211.8865718841553;2.1960628370837263;4.972736835479736;0.028185387404427976;0.07791174799203872
17;SolarEnergy;trDPT;17;{'N': 4, 'd_model': 256, 'h': 8};6;1.25;7;32;5;10000;Noam;Noam;minmax;8.345939919184614e-09;1145.3291864395144;3.9116971261093454;7.947218894958496;0.027355404217068748;0.10329636484384536
18;SolarEnergy;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};6;1.25;7;64;5;10000;Noam;Noam;minmax;4.6324841024957125e-09;581.8470830917357;2.0928753842591883;3.8545012474060063;0.02755249671465815;0.05890357618530592
19;SolarEnergy;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};6;1.25;7;64;5;10000;Noam;Noam;minmax;4.383336146751409e-09;573.0143368244171;2.4222827818010035;4.517358779907227;0.02731018092790942;0.08199403434991838
20;SolarEnergy;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};6;1.25;7;64;5;10000;Noam;Noam;minmax;4.595141429034035e-09;583.212069272995;1.2951480333169767;2.3440370559692383;0.0270938817453562;0.04924830049276352
21;SolarEnergy;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};6;1.25;7;64;5;10000;Noam;Noam;minmax;4.521046480110079e-09;569.4479849338531;1.3211129681970248;2.507599353790283;0.02656686580346667;0.051136466364065804
22;SolarEnergy;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};6;1.25;7;64;5;10000;Noam;Noam;minmax;5.082810176533544e-09;577.4740166664124;2.131948182755661;3.8953795433044434;0.027402646619374013;0.07458037883043289
23;SolarEnergy;trDPT;5;{'N': 2, 'd_model': 256, 'h': 8};6;1.25;7;64;5;10000;Noam;Noam;minmax;4.586285459043125e-09;583.1057481765748;4.883640950993741;11.018196105957033;0.0264635191993554;0.10059766471385956
24;SolarEnergy;trDPT;6;{'N': 3, 'd_model': 16, 'h': 4};6;1.25;7;64;5;10000;Noam;Noam;minmax;6.1596961274283415e-09;772.3475639820099;2.219518934168541;4.215195178985597;0.02708199658975942;0.06438225135207176
25;SolarEnergy;trDPT;7;{'N': 3, 'd_model': 16, 'h': 8};6;1.25;7;64;5;10000;Noam;Noam;minmax;6.285155702299583e-09;775.8958075046539;6.006855246219332;14.90460968017578;0.026787830656987147;0.08866727352142334
26;SolarEnergy;trDPT;8;{'N': 3, 'd_model': 128, 'h': 4};6;1.25;7;64;5;10000;Noam;Noam;minmax;6.931272512886478e-09;775.29225897789;1.6159270794603369;3.0141201019287114;0.02683496356496732;0.05316671232382456
27;SolarEnergy;trDPT;9;{'N': 3, 'd_model': 128, 'h': 8};6;1.25;7;64;5;10000;Noam;Noam;minmax;6.243754042592074e-09;793.7164130210876;2.381452723674379;4.667783737182617;0.0264267359076318;0.05988531808058421
28;SolarEnergy;trDPT;10;{'N': 3, 'd_model': 256, 'h': 4};6;1.25;7;64;5;10000;Noam;Noam;minmax;6.655704246669292e-09;822.2809076309204;2.272626498902864;4.358784198760986;0.02710662620424361;0.07563986380894977
29;SolarEnergy;trDPT;11;{'N': 3, 'd_model': 256, 'h': 8};6;1.25;7;64;5;10000;Noam;Noam;minmax;6.522938496555549e-09;795.3118188381195;2.3007720720073626;4.407097339630127;0.02640286459957055;0.07986841350793839
30;SolarEnergy;trDPT;12;{'N': 4, 'd_model': 16, 'h': 4};6;1.25;7;64;5;10000;Noam;Noam;minmax;7.718937243828103e-09;988.4131438732147;2.9622733135719885;6.106879711151122;0.026604402697745288;0.07729778190453848
31;SolarEnergy;trDPT;13;{'N': 4, 'd_model': 16, 'h': 8};6;1.25;7;64;5;10000;Noam;Noam;minmax;7.794212988750848e-09;983.5998618602753;3.566625896900992;8.358334541320799;0.02659444138202855;0.06537503252426784
