;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;wape;mase;LOSS;VAL_LOSS
0;Tourism;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};24;1.25;30;32;5;2535;Noam;Noam;minmax;6.992921761253554e-07;209.4106912612915;0.20313877840683545;0.7217530608177185;0.0649439619679891;0.11727518402040005
1;Tourism;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};24;1.25;30;32;5;2535;Noam;Noam;minmax;7.924364687302876e-07;191.8849639892578;0.2221509741644696;0.7898463606834412;0.06775309360879403;0.12798731153210005
2;Tourism;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};24;1.25;30;32;5;2535;Noam;Noam;minmax;9.516046392294084e-07;194.2750494480133;0.19482038555215986;0.6875389814376831;0.05871927015885064;0.10943808717032273
3;Tourism;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};24;1.25;30;32;5;2535;Noam;Noam;minmax;1.111575397611026e-06;194.7789800167084;0.2153561211001737;0.7461838722229004;0.05824397228943545;0.11114764772355556
4;Tourism;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};24;1.25;30;32;5;2535;Noam;Noam;minmax;1.7297473999571343e-06;212.9371554851532;0.21210303491435767;0.7532327175140381;0.05854349230400189;0.11302354683478673
5;Tourism;trDPT;5;{'N': 2, 'd_model': 256, 'h': 8};24;1.25;30;32;5;2535;Noam;Noam;minmax;1.7081363247767892e-06;213.5597584247589;0.20522866634357512;0.7132118940353394;0.058245988513963474;0.1066947349657615
6;Tourism;trDPT;6;{'N': 3, 'd_model': 16, 'h': 4};24;1.25;30;32;5;2535;Noam;Noam;minmax;1.0082943906513352e-06;256.647310256958;0.2314839013161099;0.8631691932678223;0.06382404021146636;0.1392589695751667
7;Tourism;trDPT;7;{'N': 3, 'd_model': 16, 'h': 8};24;1.25;30;32;5;2535;Noam;Noam;minmax;1.143167373381395e-06;240.9146177768708;0.21200318227472006;0.7400600910186768;0.0659062364938645;0.1179814028243224
8;Tourism;trDPT;8;{'N': 3, 'd_model': 128, 'h': 4};24;1.25;30;32;5;2535;Noam;Noam;minmax;1.3940628131910765e-06;243.24297213554385;0.2117350738555614;0.7552935481071472;0.05815499400996145;0.1145028832058112
9;Tourism;trDPT;9;{'N': 3, 'd_model': 128, 'h': 8};24;1.25;30;32;5;2535;Noam;Noam;minmax;1.5114376161532938e-06;247.54511666297915;0.19543497532792087;0.6805976629257202;0.057193611659670476;0.10566870619853336
10;Tourism;trDPT;10;{'N': 3, 'd_model': 256, 'h': 4};24;1.25;30;32;5;2535;Noam;Noam;minmax;2.2486924931089834e-06;246.3484296798706;0.2115640495746945;0.744557797908783;0.05854025182508936;0.11262502459188302
11;Tourism;trDPT;11;{'N': 3, 'd_model': 256, 'h': 8};24;1.25;30;32;5;2535;Noam;Noam;minmax;2.4346371120834928e-06;249.30249333381653;0.2520104177269665;0.8817000985145569;0.05943105125399945;0.12772777179876962
12;Tourism;trDPT;12;{'N': 4, 'd_model': 16, 'h': 4};24;1.25;30;32;5;2535;Noam;Noam;minmax;1.4188225023719857e-06;299.4020409584045;0.22390446480234288;0.8095657825469971;0.06303138814402418;0.13035789070030054
13;Tourism;trDPT;13;{'N': 4, 'd_model': 16, 'h': 8};24;1.25;30;32;5;2535;Noam;Noam;minmax;1.4653490804979731e-06;292.8346190452576;0.2126994546339648;0.7476567625999451;0.06523138324458835;0.12056324630975725
14;Tourism;trDPT;14;{'N': 4, 'd_model': 128, 'h': 4};24;1.25;30;32;5;2535;Noam;Noam;minmax;1.8243145956211449e-06;297.0776481628418;0.20341349836107867;0.6987581849098206;0.057829083509640375;0.10819503106176853
15;Tourism;trDPT;15;{'N': 4, 'd_model': 128, 'h': 8};24;1.25;30;32;5;2535;Noam;Noam;minmax;2.0667078956645956e-06;296.7708625793457;0.25042088662008943;0.8752301931381226;0.057390241734567214;0.12682074184219042
16;Tourism;trDPT;16;{'N': 4, 'd_model': 256, 'h': 4};24;1.25;30;32;5;2535;Noam;Noam;minmax;2.9511862011172662e-06;290.6804957389832;0.19983770707810605;0.7050300836563109;0.06063240295702204;0.10839231871068478
17;Tourism;trDPT;17;{'N': 4, 'd_model': 256, 'h': 8};24;1.25;30;32;5;2535;Noam;Noam;minmax;3.257519002466297e-06;293.80839300155634;0.20273648551089835;0.7179330587387085;0.05858464168447741;0.11211428729196388
18;Tourism;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};24;1.25;30;64;5;1268;Noam;Noam;minmax;6.868799928290126e-07;95.24632239341736;0.2109205307193232;0.7703604102134705;0.06621042875783341;0.12470102434357007
19;Tourism;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};24;1.25;30;64;5;1268;Noam;Noam;minmax;7.854689475525679e-07;95.91024684906006;0.2407268760552941;0.8768612146377563;0.06964707528165083;0.142576997478803
20;Tourism;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};24;1.25;30;64;5;1268;Noam;Noam;minmax;9.484560252288441e-07;97.38673377037048;0.22146797817509856;0.7644648551940918;0.059707012346267074;0.11367840692400932
21;Tourism;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};24;1.25;30;64;5;1268;Noam;Noam;minmax;1.0545299204243291e-06;96.730206489563;0.2609789479894274;0.9480244517326356;0.05903039824758138;0.13667976607879004
22;Tourism;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};24;1.25;30;64;5;1268;Noam;Noam;minmax;1.495779802738722e-06;98.15671706199646;0.19016009336564046;0.6665357351303101;0.05982820473850805;0.1061761553088824
23;Tourism;trDPT;5;{'N': 2, 'd_model': 256, 'h': 8};24;1.25;30;64;5;1268;Noam;Noam;minmax;1.6043702372287762e-06;96.6278998851776;0.2977647235317095;1.0412448644638062;0.0592760112366801;0.1455537329117457
24;Tourism;trDPT;6;{'N': 3, 'd_model': 16, 'h': 4};24;1.25;30;64;5;1268;Noam;Noam;minmax;9.994776834732843e-07;121.62779593467712;0.21722482513010266;0.7827990651130676;0.06455888447486892;0.12221475690603255
25;Tourism;trDPT;7;{'N': 3, 'd_model': 16, 'h': 8};24;1.25;30;64;5;1268;Noam;Noam;minmax;1.1629645411496497e-06;121.06220316886902;0.21260759522104705;0.7380024790763855;0.06787510138711578;0.1148416263361772
26;Tourism;trDPT;8;{'N': 3, 'd_model': 128, 'h': 4};24;1.25;30;64;5;1268;Noam;Noam;minmax;1.4031058913103449e-06;123.18414902687073;0.21349271169987827;0.7398631572723389;0.05903115732554685;0.11238693073391914
27;Tourism;trDPT;9;{'N': 3, 'd_model': 128, 'h': 8};24;1.25;30;64;5;1268;Noam;Noam;minmax;1.459163568026276e-06;123.37253141403198;0.2051727389343569;0.7298615574836731;0.05806904392358316;0.11316041027506192
28;Tourism;trDPT;10;{'N': 3, 'd_model': 256, 'h': 4};24;1.25;30;64;5;1268;Noam;Noam;minmax;2.2351219961653745e-06;123.3280177116394;0.2069932104656892;0.7271109819412231;0.05960002003007968;0.10983258858323096
29;Tourism;trDPT;11;{'N': 3, 'd_model': 256, 'h': 8};24;1.25;30;64;5;1268;Noam;Noam;minmax;2.3928349248995285e-06;124.26257300376892;0.2354757798078169;0.8062033653259277;0.05925347655705551;0.12019435316324235
