;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;wape;mase;LOSS;VAL_LOSS
0;Traffic-metr-la;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};12;1.25;15;32;5;10000;Noam;Noam;minmax;3.894232232790092e-09;620.3483827114105;0.03710012528972422;1.033604860305786;0.03815482406223352;0.03159179964235851
1;Traffic-metr-la;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};12;1.25;15;32;5;10000;Noam;Noam;minmax;3.740342989589129e-09;615.5229115486145;0.03565234948907444;0.9388580322265624;0.03811073093038815;0.030569988968116895
2;Traffic-metr-la;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};12;1.25;15;32;5;10000;Noam;Noam;minmax;3.912669334948843e-09;618.0207335948944;0.03979088494364552;1.051785230636597;0.03745952156231724;0.03333884424396923
3;Traffic-metr-la;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};12;1.25;15;32;5;10000;Noam;Noam;minmax;3.949106162755279e-09;612.8930213451384;0.039680574834438334;1.047252178192139;0.0374056054250732;0.03412585013679096
4;Traffic-metr-la;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};12;1.25;15;32;5;10000;Noam;Noam;minmax;4.425039095488298e-09;627.5444254875182;0.039534641961124224;1.0406639575958252;0.0376933687121538;0.03370351397565433
5;Traffic-metr-la;trDPT;5;{'N': 2, 'd_model': 256, 'h': 8};12;1.25;15;32;5;10000;Noam;Noam;minmax;4.438227679514266e-09;625.2049639225006;0.036603355827463206;0.9747304320335388;0.03770055899367429;0.030736722850373814
6;Traffic-metr-la;trDPT;6;{'N': 3, 'd_model': 16, 'h': 4};12;1.25;15;32;5;10000;Noam;Noam;minmax;5.37902455481565e-09;807.6033990383148;0.034472451346497734;0.9123101234436036;0.03788955613496724;0.02992270860288824
7;Traffic-metr-la;trDPT;7;{'N': 3, 'd_model': 16, 'h': 8};12;1.25;15;32;5;10000;Noam;Noam;minmax;5.3780488687525055e-09;806.474630355835;0.03541249529034478;0.95050448179245;0.03779772774333349;0.03046893355037485
8;Traffic-metr-la;trDPT;8;{'N': 3, 'd_model': 128, 'h': 4};12;1.25;15;32;5;10000;Noam;Noam;minmax;5.425756552805624e-09;808.0221343040466;0.03606519855860243;0.9716780781745912;0.0374021322507884;0.030604424221175063
9;Traffic-metr-la;trDPT;9;{'N': 3, 'd_model': 128, 'h': 8};12;1.25;15;32;5;10000;Noam;Noam;minmax;5.380101173919812e-09;811.2383556365967;0.04110238840103938;1.0829390287399292;0.03762110463758506;0.03554321426366057
10;Traffic-metr-la;trDPT;10;{'N': 3, 'd_model': 256, 'h': 4};12;1.25;15;32;5;10000;Noam;Noam;minmax;6.3369127583955865e-09;822.6103639602661;0.04061715140326688;1.0692651271820068;0.03834695709052315;0.03438471656824861
11;Traffic-metr-la;trDPT;11;{'N': 3, 'd_model': 256, 'h': 8};12;1.25;15;32;5;10000;Noam;Noam;minmax;6.5068839994649475e-09;824.4658143520355;0.040858421132606036;1.0538331270217896;0.03778609024985383;0.03504094428249768
12;Traffic-metr-la;trDPT;12;{'N': 4, 'd_model': 16, 'h': 4};12;1.25;15;32;5;10000;Noam;Noam;minmax;6.873842892248707e-09;1008.243451833725;0.03614219500496956;0.933943808078766;0.03787442244254456;0.0306159784751279
13;Traffic-metr-la;trDPT;13;{'N': 4, 'd_model': 16, 'h': 8};12;1.25;15;32;5;10000;Noam;Noam;minmax;7.1714271415081116e-09;1003.323746919632;0.03558476105640745;0.9459884762763976;0.037988934750186006;0.029974230165992464
14;Traffic-metr-la;trDPT;14;{'N': 4, 'd_model': 128, 'h': 4};12;1.25;15;32;5;10000;Noam;Noam;minmax;7.093876921661538e-09;1002.2830805778503;0.03620612635578449;0.9528651237487792;0.037607619218576784;0.032256770080753734
15;Traffic-metr-la;trDPT;15;{'N': 4, 'd_model': 128, 'h': 8};12;1.25;15;32;5;10000;Noam;Noam;minmax;7.2544613899165e-09;1004.666648864746;0.03663774864799221;0.945986807346344;0.03745780343614022;0.031111022989664762
16;Traffic-metr-la;trDPT;16;{'N': 4, 'd_model': 256, 'h': 4};12;1.25;15;32;5;10000;Noam;Noam;minmax;8.1705633145162e-09;1026.8324086666107;0.04674692144175197;1.3239734172821045;0.06829841968582867;0.04152516807828631
17;Traffic-metr-la;trDPT;17;{'N': 4, 'd_model': 256, 'h': 8};12;1.25;15;32;5;10000;Noam;Noam;minmax;8.427606125634557e-09;1021.2120640277864;0.03498384901998741;0.9383041262626648;0.06770677596775378;0.030501752559627806
18;Traffic-metr-la;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};12;1.25;15;64;5;10000;Noam;Noam;minmax;3.7614716395082805e-09;614.8159766197206;0.04137650402764434;1.2123793363571167;0.03784419942092965;0.03477108059450984
19;Traffic-metr-la;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};12;1.25;15;64;5;10000;Noam;Noam;minmax;3.883634263483511e-09;615.0968849658966;0.035129478586095005;0.9200698733329772;0.037747141242881435;0.028962867800146338
20;Traffic-metr-la;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};12;1.25;15;64;5;10000;Noam;Noam;minmax;3.8239155475496e-09;623.9426665306091;0.036632356072959366;0.9887655377388;0.037215147550094696;0.031006717588752505
21;Traffic-metr-la;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};12;1.25;15;64;5;10000;Noam;Noam;minmax;3.804603692368718e-09;620.2270812988281;0.035573784043719116;0.9281746149063108;0.03724622940724394;0.033328911755234
22;Traffic-metr-la;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};12;1.25;15;64;5;10000;Noam;Noam;minmax;4.3220537493059305e-09;620.5777673721312;0.03541501153224911;0.9485945105552672;0.03738804525934853;0.030807101167738438
23;Traffic-metr-la;trDPT;5;{'N': 2, 'd_model': 256, 'h': 8};12;1.25;15;64;5;10000;Noam;Noam;minmax;4.26990501144815e-09;616.6392698287964;0.03691205450825425;0.9646759033203124;0.03727913319708767;0.03126243082806468
24;Traffic-metr-la;trDPT;6;{'N': 3, 'd_model': 16, 'h': 4};12;1.25;15;64;5;10000;Noam;Noam;minmax;5.489815389503183e-09;809.4990003108977;0.035419332123150266;0.9231324195861816;0.0375412068026;0.029814484063535925
25;Traffic-metr-la;trDPT;7;{'N': 3, 'd_model': 16, 'h': 8};12;1.25;15;64;5;10000;Noam;Noam;minmax;5.4944583093898755e-09;808.7811903953552;0.035289484705023175;0.9496132135391236;0.03749846272465238;0.02981471735984087
26;Traffic-metr-la;trDPT;8;{'N': 3, 'd_model': 128, 'h': 4};12;1.25;15;64;5;10000;Noam;Noam;minmax;5.397057924810342e-09;818.8789217472076;0.0366892541622602;0.9434587359428406;0.037207054799281006;0.030581701081246138
27;Traffic-metr-la;trDPT;9;{'N': 3, 'd_model': 128, 'h': 8};12;1.25;15;64;5;10000;Noam;Noam;minmax;5.535706278818031e-09;822.4901671409607;0.03536803789391372;0.9503926038742064;0.03714362925449848;0.03053530538454652
28;Traffic-metr-la;trDPT;10;{'N': 3, 'd_model': 256, 'h': 4};12;1.25;15;64;5;10000;Noam;Noam;minmax;5.883757048584966e-09;818.0595362186432;0.03791022822354863;1.003834247589111;0.03739127151672799;0.033324295189231634
29;Traffic-metr-la;trDPT;11;{'N': 3, 'd_model': 256, 'h': 8};12;1.25;15;64;5;10000;Noam;Noam;minmax;6.004472965638979e-09;815.5835161209106;0.03813550043684994;1.0028585195541382;0.03728111758076432;0.031662034802138805
30;Traffic-metr-la;trDPT;12;{'N': 4, 'd_model': 16, 'h': 4};12;1.25;15;64;5;10000;Noam;Noam;minmax;7.086609742708455e-09;1003.3496832847596;0.03825802945167596;0.9969438314437866;0.03750893364750527;0.03166823135688901
