;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;wape;mase;LOSS;VAL_LOSS
0;Traffic-perms-bay;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};12;1.25;15;32;5;10000;Noam;Noam;minmax;1.6926171716546275e-09;638.7586634159087;0.01810819032119702;2.093780994415283;0.013647914654590036;0.01644925637678667
1;Traffic-perms-bay;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};12;1.25;15;32;5;10000;Noam;Noam;minmax;1.6671769914599831e-09;644.6429095268251;0.016644857298913813;1.8776293992996216;0.013479114682068841;0.01569693510166623
2;Traffic-perms-bay;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};12;1.25;15;32;5;10000;Noam;Noam;minmax;1.6550344469816978e-09;638.182315826416;0.023652890977867345;3.1845741271972656;0.013524706352297806;0.020954149775207043
3;Traffic-perms-bay;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};12;1.25;15;32;5;10000;Noam;Noam;minmax;1.7179869194567062e-09;638.2494649887085;0.015634165318572892;1.6178255081176758;0.013319013843710674;0.01446454379368912
4;Traffic-perms-bay;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};12;1.25;15;32;5;10000;Noam;Noam;minmax;2.26614814431517e-09;649.6796896457672;0.01937598333007349;2.218480348587036;0.013544669589190554;0.017101164229891518
5;Traffic-perms-bay;trDPT;5;{'N': 2, 'd_model': 256, 'h': 8};12;1.25;15;32;5;10000;Noam;Noam;minmax;2.478459548464493e-09;658.3272123336793;0.019296376839430168;2.040954113006592;0.01350351106829072;0.01702751642601057
6;Traffic-perms-bay;trDPT;6;{'N': 3, 'd_model': 16, 'h': 4};12;1.25;15;32;5;10000;Noam;Noam;minmax;2.4268326047140113e-09;857.8456997871399;0.016426558992864812;1.9097378253936768;0.013560761462365891;0.0150451140308922
7;Traffic-perms-bay;trDPT;7;{'N': 3, 'd_model': 16, 'h': 8};12;1.25;15;32;5;10000;Noam;Noam;minmax;2.4169720697548473e-09;886.8040030002594;0.01826009423595451;2.0286509990692143;0.013364711472227822;0.01675961615348404
8;Traffic-perms-bay;trDPT;8;{'N': 3, 'd_model': 128, 'h': 4};12;1.25;15;32;5;10000;Noam;Noam;minmax;2.4680496408433185e-09;888.8892090320587;0.014993375343041453;1.4558876752853394;0.013291278912472322;0.0128691737878729
9;Traffic-perms-bay;trDPT;9;{'N': 3, 'd_model': 128, 'h': 8};12;1.25;15;32;5;10000;Noam;Noam;minmax;2.396109995076957e-09;847.4711909294127;0.02140505742556666;2.417099952697754;0.013284932103066414;0.019335639917037704
10;Traffic-perms-bay;trDPT;10;{'N': 3, 'd_model': 256, 'h': 4};12;1.25;15;32;5;10000;Noam;Noam;minmax;3.260540835511364e-09;882.602174282074;0.015897489343900256;1.6545403003692627;0.01333294030467585;0.01425710210407322
11;Traffic-perms-bay;trDPT;11;{'N': 3, 'd_model': 256, 'h': 8};12;1.25;15;32;5;10000;Noam;Noam;minmax;3.420478712549011e-09;886.8388633728027;0.019038807430735813;2.2806410789489746;0.013222618353076865;0.01777310771020976
12;Traffic-perms-bay;trDPT;12;{'N': 4, 'd_model': 16, 'h': 4};12;1.25;15;32;5;10000;Noam;Noam;minmax;2.9848402780531264e-09;1047.2360305786133;0.01922951636628676;2.217034339904785;0.013315011875949832;0.01715605553578247
13;Traffic-perms-bay;trDPT;13;{'N': 4, 'd_model': 16, 'h': 8};12;1.25;15;32;5;10000;Noam;Noam;minmax;2.945102322167694e-09;1042.0211918354034;0.016287007835659978;1.84592354297638;0.013506871216966223;0.014473061923953619
14;Traffic-perms-bay;trDPT;14;{'N': 4, 'd_model': 128, 'h': 4};12;1.25;15;32;5;10000;Noam;Noam;minmax;3.112675070559437e-09;1048.871819972992;0.02095399464881332;2.4019222259521484;0.013361091451774188;0.01870339186015454
