;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;wape;mase;LOSS;VAL_LOSS
0;Traffic;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};24;1.25;30;32;5;10000;Noam;Noam;minmax;5.277033852494543e-09;773.4332368373871;0.3797980056066637;2.207310438156128;0.022113958577452696;0.03455253421432442
1;Traffic;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};24;1.25;30;32;5;10000;Noam;Noam;minmax;7.050206788958879e-09;773.9586272239685;0.3946176584146123;2.2963452339172363;0.022388917310731102;0.0350731867193072
2;Traffic;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};24;1.25;30;32;5;10000;Noam;Noam;minmax;9.415888900684852e-09;783.3479247093201;0.4760576891984386;2.829789400100708;0.01931324935441657;0.04052708449738997
3;Traffic;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};24;1.25;30;32;5;10000;Noam;Noam;minmax;1.0697911666400083e-08;807.5327243804933;0.40064963891364597;2.354825496673584;0.01889666412064564;0.037015340118496505
4;Traffic;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};24;1.25;30;32;5;10000;Noam;Noam;minmax;1.8242277251456823e-08;796.3042612075806;0.4937269743771073;2.909809827804565;0.019544799208775242;0.043736315711780833
5;Traffic;trDPT;5;{'N': 2, 'd_model': 256, 'h': 8};24;1.25;30;32;5;10000;Noam;Noam;minmax;1.912500792878151e-08;818.0083184242249;0.4184955384204989;2.349076747894287;0.01922173405968188;0.03662277875399148
6;Traffic;trDPT;6;{'N': 3, 'd_model': 16, 'h': 4};24;1.25;30;32;5;10000;Noam;Noam;minmax;7.720211819256338e-09;1005.9810280799866;0.3826233932097177;2.2066378593444824;0.02144322238579081;0.0342467061623379
7;Traffic;trDPT;7;{'N': 3, 'd_model': 16, 'h': 8};24;1.25;30;32;5;10000;Noam;Noam;minmax;9.42741668623166e-09;989.60906291008;0.3761960613178299;2.16692328453064;0.021475584038128662;0.03320099482381785
8;Traffic;trDPT;8;{'N': 3, 'd_model': 128, 'h': 4};24;1.25;30;32;5;10000;Noam;Noam;minmax;1.4515603876045937e-08;1001.5773706436156;0.4743978346440102;2.839084386825561;0.019115610079577416;0.043345835335828635
9;Traffic;trDPT;9;{'N': 3, 'd_model': 128, 'h': 8};24;1.25;30;32;5;10000;Noam;Noam;minmax;1.554575719545961e-08;1007.6373240947723;0.4601000338716179;2.662981510162353;0.018665224671926783;0.03986249243219694
10;Traffic;trDPT;10;{'N': 3, 'd_model': 256, 'h': 4};24;1.25;30;32;5;10000;Noam;Noam;minmax;2.6293912905183905e-08;1014.7688171863556;0.4217199292830687;2.43825101852417;0.019309721634730968;0.03629850734163214
11;Traffic;trDPT;11;{'N': 3, 'd_model': 256, 'h': 8};24;1.25;30;32;5;10000;Noam;Noam;minmax;2.7624342869273567e-08;997.1452784538268;0.4521135280173619;2.689046859741211;0.01904195490611059;0.04064323780713258
12;Traffic;trDPT;12;{'N': 4, 'd_model': 16, 'h': 4};24;1.25;30;32;5;10000;Noam;Noam;minmax;9.875448505272034e-09;1188.5394012928011;0.36767795428226985;2.0875682830810547;0.021219366352751647;0.03212675604003447
13;Traffic;trDPT;13;{'N': 4, 'd_model': 16, 'h': 8};24;1.25;30;32;5;10000;Noam;Noam;minmax;1.2146960643581978e-08;1186.3790147304535;0.3777768133552625;2.229188680648804;0.021265048044080803;0.036323761981394566
14;Traffic;trDPT;14;{'N': 4, 'd_model': 128, 'h': 4};24;1.25;30;32;5;10000;Noam;Noam;minmax;1.7540649985256927e-08;1219.5527591705322;0.4140113164767473;2.3455827236175537;0.01894602987934809;0.0356500879344013
15;Traffic;trDPT;15;{'N': 4, 'd_model': 128, 'h': 8};24;1.25;30;32;5;10000;Noam;Noam;minmax;2.014203414075245e-08;1219.2164313793182;0.4882292990867764;2.962103366851806;0.01859398616366988;0.042604935458964766
16;Traffic;trDPT;16;{'N': 4, 'd_model': 256, 'h': 4};24;1.25;30;32;5;10000;Noam;Noam;minmax;3.477677958060909e-08;1186.4482800960538;0.4243553536991141;2.4114515781402592;0.01930299333260465;0.03724645850835023
17;Traffic;trDPT;17;{'N': 4, 'd_model': 256, 'h': 8};24;1.25;30;32;5;10000;Noam;Noam;minmax;3.7100293432841716e-08;1268.8321394920351;0.4636529327916462;2.851526021957397;0.018842353552807025;0.04131461659239398
18;Traffic;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};24;1.25;30;64;5;10000;Noam;Noam;minmax;5.303240562769223e-09;771.5242717266083;0.3546193116857441;2.045694589614868;0.02172318295226385;0.0329368333997471
19;Traffic;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};24;1.25;30;64;5;10000;Noam;Noam;minmax;6.793048495991621e-09;771.7471146583557;0.3667917488495745;2.1130166053771973;0.02156527466544456;0.033217707249735086
20;Traffic;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};24;1.25;30;64;5;10000;Noam;Noam;minmax;1.0042791414143831e-08;777.653431892395;0.5718731049373043;3.6415724754333496;0.01877835973868152;0.05023019042398248
21;Traffic;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};24;1.25;30;64;5;10000;Noam;Noam;minmax;1.0385980557215226e-08;773.7804477214813;0.4128995396567417;2.4934067726135254;0.01861817683083284;0.039124692124979835
22;Traffic;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};24;1.25;30;64;5;10000;Noam;Noam;minmax;1.7450866270901974e-08;783.7830975055695;0.4812933119542551;2.804858684539795;0.01835655132032675;0.04279606656304428
23;Traffic;trDPT;5;{'N': 2, 'd_model': 256, 'h': 8};24;1.25;30;64;5;10000;Noam;Noam;minmax;1.888024833922517e-08;775.512097120285;0.4647619725067218;2.741537094116211;0.018539488059705973;0.04061390379709857
24;Traffic;trDPT;6;{'N': 3, 'd_model': 16, 'h': 4};24;1.25;30;64;5;10000;Noam;Noam;minmax;8.224172400043038e-09;962.1317627429962;0.37199348437729857;2.196972608566284;0.02101657607249656;0.035431296830730784
25;Traffic;trDPT;7;{'N': 3, 'd_model': 16, 'h': 8};24;1.25;30;64;5;10000;Noam;Noam;minmax;1.0014177803590149e-08;989.101113319397;0.3673277928438121;2.098674297332764;0.0210152101913122;0.03412160197538989
26;Traffic;trDPT;8;{'N': 3, 'd_model': 128, 'h': 4};24;1.25;30;64;5;10000;Noam;Noam;minmax;1.3925010720085347e-08;993.5063617229463;0.4488101361767477;2.608118295669556;0.018498364742093727;0.03864436782896519
27;Traffic;trDPT;9;{'N': 3, 'd_model': 128, 'h': 8};24;1.25;30;64;5;10000;Noam;Noam;minmax;1.512177854433902e-08;983.7001526355743;0.4105258231676192;2.4465298652648926;0.018093497230981644;0.03792651889047453
28;Traffic;trDPT;10;{'N': 3, 'd_model': 256, 'h': 4};24;1.25;30;64;5;10000;Noam;Noam;minmax;2.6239789318646824e-08;1014.89875125885;0.4067635525811463;2.4272117614746094;0.018259242266035983;0.037267728841730526
29;Traffic;trDPT;11;{'N': 3, 'd_model': 256, 'h': 8};24;1.25;30;64;5;10000;Noam;Noam;minmax;2.8237231522555448e-08;989.6716668605804;0.3644818053995674;2.1126151084899902;0.01808289294997597;0.0337852207677705
30;Traffic;trDPT;12;{'N': 4, 'd_model': 16, 'h': 4};24;1.25;30;64;5;10000;Noam;Noam;minmax;9.677385948102422e-09;1186.6061325073242;0.36245710919219615;2.082573413848877;0.02054330796151712;0.03248535828398807
31;Traffic;trDPT;13;{'N': 4, 'd_model': 16, 'h': 8};24;1.25;30;64;5;10000;Noam;Noam;minmax;1.2107468477162006e-08;1171.8012387752533;0.3797650662314608;2.1996395587921143;0.02072818710236249;0.03406030551663467
32;Traffic;trDPT;14;{'N': 4, 'd_model': 128, 'h': 4};24;1.25;30;64;5;10000;Noam;Noam;minmax;1.7966782178732417e-08;1189.9583671092987;0.4427829015906477;2.6039106845855717;0.018315291465534355;0.03818368512604918
33;Traffic;trDPT;15;{'N': 4, 'd_model': 128, 'h': 8};24;1.25;30;64;5;10000;Noam;Noam;minmax;2.045586543436811e-08;1213.2088329792025;0.4680583841397985;2.793355226516724;0.018054325241915255;0.04121140550289835
34;Traffic;trDPT;16;{'N': 4, 'd_model': 256, 'h': 4};24;1.25;30;64;5;10000;Noam;Noam;minmax;3.4894986887074634e-08;1193.6248590946198;0.4824553010308607;2.890834331512451;0.018066779379515733;0.04421442081885679
35;Traffic;trDPT;17;{'N': 4, 'd_model': 256, 'h': 8};24;1.25;30;64;5;10000;Noam;Noam;minmax;3.760031113093453e-08;1195.2238466739655;0.4216888391369519;2.5252914428710938;0.01771173186876665;0.039536043735487116
36;Traffic;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};24;2.0;48;32;5;10000;Noam;Noam;minmax;5.581637318069132e-09;776.759458065033;0.3982135486783002;2.3004705905914307;0.02210404970324603;0.03558863299312415
37;Traffic;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};24;2.0;48;32;5;10000;Noam;Noam;minmax;7.471624062469126e-09;788.3914992809296;0.4128006797128494;2.3794846534729004;0.022221433152856192;0.03656326386111754
38;Traffic;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};24;2.0;48;32;5;10000;Noam;Noam;minmax;1.108064230365852e-08;802.0912568569182;0.4274425306317937;2.4787042140960693;0.01895044735059149;0.037930286316959945
39;Traffic;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};24;2.0;48;32;5;10000;Noam;Noam;minmax;1.2748173234895134e-08;782.537061214447;0.4278190620333376;2.5465424060821533;0.01864774867964572;0.039156469964870703
40;Traffic;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};24;2.0;48;32;5;10000;Noam;Noam;minmax;2.05612164052256e-08;808.7629964351654;0.4875414721251398;2.924778938293457;0.01914739856672149;0.043563431335820094
