;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;wape;mase;LOSS;VAL_LOSS
0;WikiWebTraffic;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};59;1.25;73;32;5;10000;Noam;Noam;minmax;7.232249926784291e-07;1165.7523975372314;0.4758590858831993;0.8568848371505737;0.03733996614155314;0.061892635421827435
1;WikiWebTraffic;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};59;1.25;73;32;5;10000;Noam;Noam;minmax;1.0642664475939508e-06;1213.0859487056732;0.5121504618308517;0.9212718009948728;0.03732931836330675;0.0629006897797808
2;WikiWebTraffic;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};59;1.25;73;32;5;10000;Noam;Noam;minmax;1.7348790928748038e-06;1176.0084934234621;0.5117278423956251;0.9346072673797609;0.0372323883058382;0.07361429568845779
3;WikiWebTraffic;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};59;1.25;73;32;5;10000;Noam;Noam;minmax;1.9505170529161142e-06;1190.0561604499815;0.4918604969982091;0.8838646411895752;0.0371630826402037;0.06301418540533632
4;WikiWebTraffic;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};59;1.25;73;32;5;10000;Noam;Noam;minmax;3.6635399914611405e-06;1182.3703274726868;0.486287205067803;0.8876164555549622;0.037188730265888516;0.06319631938822567
5;WikiWebTraffic;trDPT;5;{'N': 2, 'd_model': 256, 'h': 8};59;1.25;73;32;5;10000;Noam;Noam;minmax;3.974413372301436e-06;1227.5107197761536;0.4910038989135109;0.8929917216300964;0.03715480239665833;0.06476550409570336
6;WikiWebTraffic;trDPT;6;{'N': 3, 'd_model': 16, 'h': 4};59;1.25;73;32;5;10000;Noam;Noam;minmax;1.084134176470327e-06;1393.1720099449158;0.5012973941942105;0.9027236700057985;0.03728588094503699;0.06360496347770095
7;WikiWebTraffic;trDPT;7;{'N': 3, 'd_model': 16, 'h': 8};59;1.25;73;32;5;10000;Noam;Noam;minmax;1.5314798404640629e-06;1365.5113956928253;0.5079342879893821;0.9177812337875366;0.03727096227737197;0.06456792389508338
8;WikiWebTraffic;trDPT;8;{'N': 3, 'd_model': 128, 'h': 4};59;1.25;73;32;5;10000;Noam;Noam;minmax;2.505893371162956e-06;1382.0252513885498;0.5309519673104378;0.9607751369476318;0.03719356194681142;0.06564904074184598
9;WikiWebTraffic;trDPT;9;{'N': 3, 'd_model': 128, 'h': 8};59;1.25;73;32;5;10000;Noam;Noam;minmax;2.8986168761605287e-06;1384.761869430542;0.5234546305007302;0.9534606337547302;0.03707927744681103;0.06675720680505037
10;WikiWebTraffic;trDPT;10;{'N': 3, 'd_model': 256, 'h': 4};59;1.25;73;32;5;10000;Noam;Noam;minmax;5.409810122939202e-06;1389.6689279079435;0.571147219290213;1.0426310300827026;0.03724180830672043;0.06884519546292722
11;WikiWebTraffic;trDPT;11;{'N': 3, 'd_model': 256, 'h': 8};59;1.25;73;32;5;10000;Noam;Noam;minmax;5.847706999151434e-06;1416.637942790985;0.5330085118954906;0.9709493517875672;0.03718770946789371;0.06566708616446704
12;WikiWebTraffic;trDPT;12;{'N': 4, 'd_model': 16, 'h': 4};59;1.25;73;32;5;10000;Noam;Noam;minmax;1.4253195018170897e-06;1618.978283882141;0.4704592073139146;0.8484379649162292;0.037254113040790425;0.06280960270669311
13;WikiWebTraffic;trDPT;13;{'N': 4, 'd_model': 16, 'h': 8};59;1.25;73;32;5;10000;Noam;Noam;minmax;1.95242479427632e-06;1591.7229263782501;0.4704175168778856;0.8467314839363098;0.03726427309918466;0.06164182838983834
14;WikiWebTraffic;trDPT;14;{'N': 4, 'd_model': 128, 'h': 4};59;1.25;73;32;5;10000;Noam;Noam;minmax;3.2807197298302406e-06;1596.204577922821;0.5353852926253237;0.9828278422355652;0.03718814213872674;0.07057806116063148
15;WikiWebTraffic;trDPT;15;{'N': 4, 'd_model': 128, 'h': 8};59;1.25;73;32;5;10000;Noam;Noam;minmax;3.8363585144043476e-06;1588.8136503696442;0.4890039067660161;0.8797228932380676;0.037107650068436235;0.06101216177921742
16;WikiWebTraffic;trDPT;16;{'N': 4, 'd_model': 256, 'h': 4};59;1.25;73;32;5;10000;Noam;Noam;minmax;7.177099918841075e-06;1628.7066340446472;0.5330961410906123;0.9652988910675048;0.03713354461102183;0.06224833498708904
17;WikiWebTraffic;trDPT;17;{'N': 4, 'd_model': 256, 'h': 8};59;1.25;73;32;5;10000;Noam;Noam;minmax;7.76524418594932e-06;1622.4787247180939;0.5429268124630963;1.001149296760559;0.03708264267894487;0.06951707322150469
18;WikiWebTraffic;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};59;1.25;73;64;5;7665;Noam;Noam;minmax;7.390794169914371e-07;893.3609957695007;0.5127998535795225;0.9206581115722656;0.03730364552743783;0.06233765184879302
19;WikiWebTraffic;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};59;1.25;73;64;5;7665;Noam;Noam;minmax;9.874250558486288e-07;891.6109161376953;0.4750518825655083;0.8568169474601746;0.03727033557886702;0.06158342864364385
20;WikiWebTraffic;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};59;1.25;73;64;5;7665;Noam;Noam;minmax;1.660398439928595e-06;893.7989544868469;0.4923274154767671;0.8908783793449402;0.03712547983908228;0.06356015475466847
21;WikiWebTraffic;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};59;1.25;73;64;5;7665;Noam;Noam;minmax;1.953598115968941e-06;915.4688339233397;0.4879089887999058;0.8784846663475037;0.03704064538041545;0.061570986174046986
22;WikiWebTraffic;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};59;1.25;73;64;5;7665;Noam;Noam;minmax;3.7671889161952e-06;935.845308303833;0.5423844695121465;0.9994701743125916;0.03711533961389655;0.06799673126079142
23;WikiWebTraffic;trDPT;5;{'N': 2, 'd_model': 256, 'h': 8};59;1.25;73;64;5;7665;Noam;Noam;minmax;4.038089647490699e-06;975.5331325531006;0.5265631029785356;0.960420310497284;0.03703878648339901;0.06680060899816452
